Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyResponseStatusCode(response, statusCode405)",,,,2022-12-21 16:15:58,2022-12-21 16:15:58,0.003s,PASSED
,,,,,,,
Test Cases/Booking/Online Class/TC_Update,,,,2022-12-21 16:15:58,2022-12-21 16:16:01,2.816s,PASSED
"response = sendRequest(findTestObject(""AUTH/Login/Login with valid""), CONTINUE_ON_FAILURE)",,,,2022-12-21 16:15:58,2022-12-21 16:15:59,0.439s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2022-12-21 16:15:59,2022-12-21 16:15:59,0.001s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-12-21 16:15:59,2022-12-21 16:15:59,0.000s,PASSED
parsedJson = slurper.parseText(response.getResponseText()),,,,2022-12-21 16:15:59,2022-12-21 16:15:59,0.001s,PASSED
Token = access_token,,,,2022-12-21 16:15:59,2022-12-21 16:15:59,0.000s,PASSED
globalVar = Token,,,,2022-12-21 16:15:59,2022-12-21 16:15:59,0.000s,PASSED
"response = sendRequest(findTestObject(""Booking/Offline Book/Update class/Update class with valid input""), CONTINUE_ON_FAILURE)",,,,2022-12-21 16:15:59,2022-12-21 16:15:59,0.462s,PASSED
"verifyResponseStatusCode(response, statusCode405)",,,,2022-12-21 16:15:59,2022-12-21 16:15:59,0.005s,PASSED
"response = sendRequest(findTestObject(""Booking/Offline Book/Update class/Update with invalid input""))",,,,2022-12-21 16:15:59,2022-12-21 16:16:00,0.426s,PASSED
"verifyResponseStatusCode(response, statusCode405)",,,,2022-12-21 16:16:00,2022-12-21 16:16:00,0.002s,PASSED
"response = sendRequest(findTestObject(""Booking/Offline Book/Update class/Update with invalid Token""))",,,,2022-12-21 16:16:00,2022-12-21 16:16:00,0.356s,PASSED
"verifyResponseStatusCode(response, statusCode405)",,,,2022-12-21 16:16:00,2022-12-21 16:16:00,0.003s,PASSED
"response = sendRequest(findTestObject(""Booking/Offline Book/Update class/With POST Method""))",,,,2022-12-21 16:16:00,2022-12-21 16:16:00,0.445s,PASSED
"verifyResponseStatusCode(response, StatusCode401)",,,,2022-12-21 16:16:00,2022-12-21 16:16:00,0.002s,PASSED
"response = sendRequest(findTestObject(""Booking/Offline Book/Update class/With PUT Method""))",,,,2022-12-21 16:16:00,2022-12-21 16:16:01,0.435s,PASSED
"verifyResponseStatusCode(response, statusCode405)",,,,2022-12-21 16:16:01,2022-12-21 16:16:01,0.001s,PASSED
